id,text,created_at,lang
1968379873711505668,@GeneralpattonS Under the guise of a peace treaty….sounds like what Ukraine/NATO did to Russia,2025-09-17 18:21:47+00:00,en
1968379870918099241,"@RapidResponse47 @VP Hey Vance, why are grocery prices still high? Why isn’t there peace in Ukraine and Gaza? Why do I get emails from Trump asking me to invest in crypto?",2025-09-17 18:21:46+00:00,en
1968379532424937871,"King Charles III stepping up for Ukraine peace talks? Diplomatic royal vibes activated. Maybe the crown's not just for show, peace talks might just get a regal glow. https://t.co/vB28Oa6GMV",2025-09-17 18:20:25+00:00,en
1968379483171238003,"OPINION: A European force in postwar Ukraine is an important mission for President Volodymyr Zelenskyy and his people.

It would also provide significant collateral benefits for European defense.
https://t.co/jaiHIcoI9i",2025-09-17 18:20:14+00:00,en
1968379266845770225,"If this is true it’s a shocker. Kozak is Putin loyalist. Not member of fraction. And real professional. 

He was special envoy to ukraine prewar. Came to Putin early in 2022 with a finished peace plan but Putin rejected it as war goals had widened. 

Bit late to quit now in https://t.co/Y4xU0xHXXS",2025-09-17 18:19:22+00:00,en
1968379234692513858,"@Ales_Kralj14 @PM_ViktorOrban You are really sick in Russo-phrenia, which is not related to individual Russians.
Russian will eliminate NATO's de-facto presence in Ukraine. 
They won't attack insignificant Slovenia, only in the wet fever dreams of the Libseviks. 
If it gives sexual satisfaction, then fine.",2025-09-17 18:19:14+00:00,en
1968378948867514673,"🇩🇪 German Chancellor Merz warns:
Putin is sabotaging, spying, murdering &amp; trying to destabilise the West.
He rejects a dictated peace in Ukraine, clashing with far-right critics.
https://t.co/EyLZGrgtFG
#Germany #Culture

🔹 https://t.co/DujAJ8kHAh
🔹 https://t.co/NPFPYlJliN https://t.co/5qgXYZ9rll",2025-09-17 18:18:06+00:00,en
1968378687348506778,@OKCyberGeek @CommunityNotes What's this about Tesla and Reuters and COVID and the Ukraine-Russia War? You seem to be throwing spaghetti at the wall to see what sticks. None of this has to Donald Trump's terrorist attack. You lack the ability to stay on a single topic.,2025-09-17 18:17:04+00:00,en
1968378674782298538,"📡👀 A radar system was damaged in a drone attack in the Voronezh Region.

AFU drone damaged the antenna of the Sopka-2 radar system, ASTRA has discovered. This occurred near the village of Garmashevka, more than 170 km from the border with Ukraine. https://t.co/McvkG4lVqV",2025-09-17 18:17:01+00:00,en
1968378475653513672,"2. 74% of Ukrainians support the Europe-Ukraine peace proposal (frontline freeze, security guarantees). Even if not everything is a victory, most would accept it",2025-09-17 18:16:13+00:00,en
